"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Kentavious Caldwell-Pope","DEN",8,23,3,0,0,0,1,2,0.5,0.5,0,0,0,3,0,0,0,1,1,0.485475,0.75,0.75,0,0,0,0,0,14.285714285714285
"Aaron Gordon","DEN",8,24,3,1,1,1,0,2,0,0,1,2,0,0,0,1,1,0,0.6666666666666666,0.5860500000000001,0.3333333333333333,0.375,0,0,0,0,0,17.24137931034483
"Nikola Jokic","DEN",8,23,11,4,7,0.5714285714285714,1,2,0.5,0.5,0,2,6,0,3,0.25,0.3333333333333333,0,0.2222222222222222,0.4271,0.6111111111111112,0.6111111111111112,2,0,0,0,0,32.14285714285714
"Michael Porter Jr.","DEN",7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jamal Murray","DEN",6,13,3,0,3,0,1,1,1,1,0,0,0,0,3,0,0,0,0.25,0.352775,0.375,0.375,0,0,0,0,0,28.57142857142857
"Reggie Jackson","DEN",2,8,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0.46395,0,0.3333333333333333,0,0,0,0,0,36.36363636363637
"Peyton Watson","DEN",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Christian Braun","DEN",1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5863,0,0,0,0,0,0,0,16.666666666666668
"Justin Holiday","DEN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
