"Name","TeamAbbreviation","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Jaden McDaniels","MIN",13,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.4356,0,0,0,0,0,0,0,6.666666666666667
"Anthony Edwards","MIN",13,25,11,2,5,0.4,0,4,0,0,7,2,2,0,0,0.5,0.5,0,0.4444444444444444,0.41933888888888887,0.2222222222222222,0.4230769230769231,0,0,0,0,0,44.827586206896555
"Rudy Gobert","MIN",13,25,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5592,0,0.25,0,0,0,0,0,17.24137931034483
"Karl-Anthony Towns","MIN",11,25,8,1,3,0.3333333333333333,2,6,0.3333333333333333,0.3333333333333333,0,2,0,6,0,1,1,1,0.6666666666666666,0.3602777777777778,0.4444444444444444,0.4444444444444444,0,1,0.3333333333333333,0,0,34.48275862068966
"Mike Conley","MIN",11,25,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.75,0.427225,0,0,0,0,0,0,0,13.793103448275863
"Kyle Anderson","MIN",5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Nickeil Alexander-Walker","MIN",5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Naz Reid","MIN",4,11,2,1,2,0.5,0,1,0,0,0,2,0,0,0,1,1,0,0.3333333333333333,0.4275333333333333,0.3333333333333333,0.3333333333333333,0,1,0.5,0,0,27.272727272727273
